No.,Site,Station,St_date,End_date,St. time,End_time,Capture_date,Capture_time,Capture_hr,Photo_ID,Gen_enc_30 mins,Pred_enc_30 mins,Species,Sp_gr,No_animals,Behaviour,Camera_days,Include
5,BG1,10,25/07/2018,08/08/2018,16:51:23,11:45:55,03/08/2018,09:36:22,9,8030162,3,1,HC,AV,1,LA,14,Y
6,BG1,10,25/07/2018,08/08/2018,16:51:23,11:45:55,03/08/2018,09:36:46,9,8030163,3,1,HC,AV,1,IC,14,Y
7,BG1,10,25/07/2018,08/08/2018,16:51:23,11:45:55,03/08/2018,09:37:53,9,8030164,3,1,HC,AV,1,IC,14,Y
8,BG1,10,25/07/2018,08/08/2018,16:51:23,11:45:55,03/08/2018,09:38:14,9,8030165,3,1,HC,AV,2,IC,14,Y
9,BG1,10,25/07/2018,08/08/2018,16:51:23,11:45:55,03/08/2018,09:38:21,9,8030166,3,1,HC,AV,2,IC,14,Y
10,BG1,10,25/07/2018,08/08/2018,16:51:23,11:45:55,03/08/2018,09:39:44,9,8030167,3,1,HC,AV,2,OC,14,Y
11,BG1,10,25/07/2018,08/08/2018,16:51:23,11:45:55,03/08/2018,09:40:47,9,8030168,3,1,HC,AV,1,IC,14,Y
12,BG1,10,25/07/2018,08/08/2018,16:51:23,11:45:55,03/08/2018,09:40:57,9,8030169,3,1,HC,AV,1,IC,14,Y
13,BG1,10,25/07/2018,08/08/2018,16:51:23,11:45:55,03/08/2018,09:42:08,9,8030170,3,1,HC,AV,1,IC,14,Y
14,BG1,10,25/07/2018,08/08/2018,16:51:23,11:45:55,03/08/2018,09:42:16,9,8030171,3,1,HC,AV,1,NC,14,Y
15,BG1,10,25/07/2018,08/08/2018,16:51:23,11:45:55,03/08/2018,09:42:29,9,8030172,3,1,HC,AV,1,NC,14,Y
16,BG1,10,25/07/2018,08/08/2018,16:51:23,11:45:55,03/08/2018,09:42:37,9,8030173,3,1,HC,AV,1,NC,14,Y
17,BG1,10,25/07/2018,08/08/2018,16:51:23,11:45:55,03/08/2018,09:44:04,9,8030174,3,1,HC,AV,1,IC,14,Y
18,BG1,10,25/07/2018,08/08/2018,16:51:23,11:45:55,03/08/2018,09:44:12,9,8030175,3,1,HC,AV,1,IC,14,Y
19,BG1,10,25/07/2018,08/08/2018,16:51:23,11:45:55,03/08/2018,09:44:20,9,8030176,3,1,HC,AV,1,IC,14,Y
20,BG1,10,25/07/2018,08/08/2018,16:51:23,11:45:55,03/08/2018,09:44:28,9,8030177,3,1,HC,AV,1,NC,14,Y
21,BG1,10,25/07/2018,08/08/2018,16:51:23,11:45:55,03/08/2018,09:44:57,9,8030178,3,1,HC,AV,1,IC,14,Y
22,BG1,10,25/07/2018,08/08/2018,16:51:23,11:45:55,03/08/2018,09:45:11,9,8030179,3,1,HC,AV,1,FL,14,Y
23,BG1,10,25/07/2018,08/08/2018,16:51:23,11:45:55,03/08/2018,09:47:29,9,8030180,3,1,HC,AV,1,IC,14,Y
24,BG1,10,25/07/2018,08/08/2018,16:51:23,11:45:55,03/08/2018,09:47:35,9,8030181,3,1,HC,AV,1,NC,14,Y
24.5,BG1,50,25/07/2018,27/07/2018,17:23:18,11:44:13,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2,Y
43,BG1,100,25/07/2018,07/08/2018,17:58:12,19:04:11,NA,NA,NA,NA,0,0,NA,NA,NA,NA,14,Y
45,BG2,10,31/07/2018,16/08/2018,08:48:22,14:24:59,01/08/2018,06:40:44,6,8010030,2,1,HC,AV,1,IC,16,Y
46,BG2,10,31/07/2018,16/08/2018,08:48:22,14:24:59,01/08/2018,06:41:09,6,8010031,2,1,HC,AV,1,IC,16,Y
47,BG2,10,31/07/2018,16/08/2018,08:48:22,14:24:59,01/08/2018,06:41:16,6,8010032,2,1,HC,AV,1,IC,16,Y
48,BG2,10,31/07/2018,16/08/2018,08:48:22,14:24:59,01/08/2018,06:41:24,6,8010033,2,1,HC,AV,1,IC,16,Y
49,BG2,10,31/07/2018,16/08/2018,08:48:22,14:24:59,01/08/2018,06:41:43,6,8010034,2,1,HC,AV,1,IC,16,Y
50,BG2,10,31/07/2018,16/08/2018,08:48:22,14:24:59,01/08/2018,06:42:45,6,8010035,2,1,HC,AV,1,IC,16,Y
51,BG2,10,31/07/2018,16/08/2018,08:48:22,14:24:59,01/08/2018,06:43:10,6,8010036,2,1,HC,AV,1,IC,16,Y
52,BG2,10,31/07/2018,16/08/2018,08:48:22,14:24:59,01/08/2018,06:44:33,6,8010037,2,1,HC,AV,1,IC,16,Y
53,BG2,10,31/07/2018,16/08/2018,08:48:22,14:24:59,01/08/2018,06:45:05,6,8010038,2,1,HC,AV,1,IC,16,Y
54,BG2,10,31/07/2018,16/08/2018,08:48:22,14:24:59,01/08/2018,06:47:27,6,8010039,2,1,HC,AV,1,IC,16,Y
55,BG2,10,31/07/2018,16/08/2018,08:48:22,14:24:59,01/08/2018,06:47:43,6,8010040,2,1,HC,AV,1,IC,16,Y
56,BG2,10,31/07/2018,16/08/2018,08:48:22,14:24:59,01/08/2018,06:49:19,6,8010041,2,1,HC,AV,1,IC,16,Y
57,BG2,10,31/07/2018,16/08/2018,08:48:22,14:24:59,01/08/2018,06:50:27,6,8010042,2,1,HC,AV,1,IC,16,Y
58,BG2,10,31/07/2018,16/08/2018,08:48:22,14:24:59,01/08/2018,13:17:23,13,8010044,3,2,HC,AV,1,IC,16,Y
59,BG2,10,31/07/2018,16/08/2018,08:48:22,14:24:59,01/08/2018,13:17:57,13,8010045,3,2,HC,AV,1,IC,16,Y
60,BG2,10,31/07/2018,16/08/2018,08:48:22,14:24:59,01/08/2018,13:18:07,13,8010046,3,2,HC,AV,1,IC,16,Y
61,BG2,10,31/07/2018,16/08/2018,08:48:22,14:24:59,01/08/2018,13:18:15,13,8010047,3,2,HC,AV,1,IC,16,Y
62,BG2,10,31/07/2018,16/08/2018,08:48:22,14:24:59,01/08/2018,15:19:09,15,8010048,4,3,HC,AV,1,NC,16,Y
63,BG2,10,31/07/2018,16/08/2018,08:48:22,14:24:59,01/08/2018,19:17:30,19,8010049,5,4,HC,AV,1,NC,16,Y
64,BG2,10,31/07/2018,16/08/2018,08:48:22,14:24:59,01/08/2018,19:17:38,19,8010050,5,4,HC,AV,1,IC,16,Y
65,BG2,10,31/07/2018,16/08/2018,08:48:22,14:24:59,01/08/2018,19:17:54,19,8010051,5,4,HC,AV,1,IC,16,Y
66,BG2,10,31/07/2018,16/08/2018,08:48:22,14:24:59,01/08/2018,19:18:18,19,8010052,5,4,HC,AV,1,NC,16,Y
68,BG2,10,31/07/2018,16/08/2018,08:48:22,14:24:59,02/08/2018,13:51:47,13,8010054,7,5,HC,AV,1,NC,16,Y
69,BG2,10,31/07/2018,16/08/2018,08:48:22,14:24:59,02/08/2018,13:52:20,13,8010055,7,5,HC,AV,1,IC,16,Y
70,BG2,10,31/07/2018,16/08/2018,08:48:22,14:24:59,02/08/2018,13:52:27,13,8010056,7,5,HC,AV,1,IC,16,Y
71,BG2,10,31/07/2018,16/08/2018,08:48:22,14:24:59,02/08/2018,13:52:35,13,8010057,7,5,HC,AV,1,OC,16,Y
74,BG2,10,31/07/2018,16/08/2018,08:48:22,14:24:59,06/08/2018,13:06:53,13,8060227,9,6,HC,AV,1,NC,16,Y
75,BG2,10,31/07/2018,16/08/2018,08:48:22,14:24:59,09/08/2018,13:21:18,13,8090287,10,7,HC,AV,1,NC,16,Y
76,BG2,10,31/07/2018,16/08/2018,08:48:22,14:24:59,09/08/2018,13:21:26,13,8090288,10,7,HC,AV,1,IC,16,Y
84,BG2,50,31/07/2018,16/08/2018,10:20:08,17:15:37,14/08/2018,09:49:02,9,8140403,3,1,AM,MA,1,NC,16,Y
85,BG2,50,31/07/2018,16/08/2018,10:20:08,17:15:37,14/08/2018,09:49:29,9,8140404,3,1,AM,MA,1,NC,16,Y
86,BG2,100,31/07/2018,16/08/2018,09:47:42,15:56:36,01/08/2018,15:25:10,15,8010563,1,1,HC,AV,1,IC,16,Y
99,BG3,10,31/07/2018,14/08/2018,14:03:42,17:52:12,04/08/2018,14:34:28,14,8040014,1,1,DG,MA,1,IC,14,Y
100,BG3,10,31/07/2018,14/08/2018,14:03:42,17:52:12,04/08/2018,14:34:35,14,8040015,1,1,DG,MA,1,IC,14,Y
101,BG3,10,31/07/2018,14/08/2018,14:03:42,17:52:12,04/08/2018,14:34:43,14,8040016,1,1,DG,MA,1,IC,14,Y
102,BG3,10,31/07/2018,14/08/2018,14:03:42,17:52:12,04/08/2018,14:34:50,14,8040017,1,1,DG,MA,2,IC,14,Y
103,BG3,10,31/07/2018,14/08/2018,14:03:42,17:52:12,04/08/2018,14:34:57,14,8040018,1,1,DG,MA,2,IC,14,Y
104,BG3,10,31/07/2018,14/08/2018,14:03:42,17:52:12,04/08/2018,14:34:47,14,8040019,1,1,DG,MA,2,IC,14,Y
105,BG3,10,31/07/2018,14/08/2018,14:03:42,17:52:12,04/08/2018,14:34:55,14,8040020,1,1,DG,MA,2,NC,14,Y
106,BG3,10,31/07/2018,14/08/2018,14:03:42,17:52:12,07/08/2018,02:13:51,2,8070040,2,2,FX,MA,1,IC,14,Y
107,BG3,10,31/07/2018,14/08/2018,14:03:42,17:52:12,07/08/2018,04:05:51,4,8070041,3,3,FX,MA,1,IC,14,Y
108,BG3,10,31/07/2018,14/08/2018,14:03:42,17:52:12,08/08/2018,02:08:22,2,8080052,4,4,FX,MA,1,IC,14,Y
109,BG3,10,31/07/2018,14/08/2018,14:03:42,17:52:12,08/08/2018,02:08:38,2,8080053,4,4,FX,MA,1,IC,14,Y
110,BG3,10,31/07/2018,14/08/2018,14:03:42,17:52:12,08/08/2018,02:09:35,2,8080054,4,4,FX,MA,1,IC,14,Y
111,BG3,10,31/07/2018,14/08/2018,14:03:42,17:52:12,08/08/2018,02:09:44,2,8080055,4,4,FX,MA,1,IC,14,Y
112,BG3,10,31/07/2018,14/08/2018,14:03:42,17:52:12,08/08/2018,02:09:52,2,8080056,4,4,FX,MA,1,IC,14,Y
