No.,Site,Station,Date,Surveyor,Age,Distance,Direction,Species,% cover,Moisture,Canopy,Height dir.,Height,Tree no.,Dist. (tree),DBH,Tree hgt,Tree sp.,VOR hgt,VOR dist.,VOR dir.,VOR,Aer. Vis. Dir.,Aer. Vis.,Quadrat notes,Other notes
1,BT1,10,12/06/2018,AMcC,4,1.5,N,Gr & fo,5,1,NA,,,1,1.8,0.04,1.75,ST,0.5,2,N,9,N,6.7,,
2,BT1,10,12/06/2018,AMcC,4,1.5,N,Heather,15,1,NA,,,2,2.96,0.07,1.75,LP,0.5,3,N,15,S,18,,
3,BT1,10,12/06/2018,AMcC,4,1.5,N,Gorse,20,1,NA,,,3,1.3,0.07,2.25,ST,0.5,4,N,21,E,5.9,,
4,BT1,10,12/06/2018,AMcC,4,1.5,N,Moss,60,1,NA,,,4,1,NA,0.75,ST,0.8,2,N,8,W,12,,
5,BT1,10,12/06/2018,AMcC,4,1.5,S,Gr & fo,85,1,NA,,,5,2.16,0.04,1.75,ST,0.8,3,N,7,,,,
6,BT1,10,12/06/2018,AMcC,4,1.5,S,Sitka,5,1,NA,,,,,,,,0.8,4,N,15,,,,
7,BT1,10,12/06/2018,AMcC,4,1.5,S,Bramble,10,1,NA,,,,,,,,1,2,N,7,,,,
8,BT1,10,12/06/2018,AMcC,4,1.5,E,Gr & fo,5,1,NA,,,,,,,,1,3,N,6,,,,
9,BT1,10,12/06/2018,AMcC,4,1.5,E,Heather,35,1,NA,,,,,,,,1,4,N,11,,,,
10,BT1,10,12/06/2018,AMcC,4,1.5,E,Moss,10,1,NA,,,,,,,,0.5,2,S,1,,,,
11,BT1,10,12/06/2018,AMcC,4,1.5,E,Bramble,50,1,NA,,,,,,,,0.5,3,S,2,,,,
12,BT1,10,12/06/2018,AMcC,4,1.5,W,Gr & fo,5,1,NA,,,,,,,,0.5,4,S,7,,,,
13,BT1,10,12/06/2018,AMcC,4,1.5,W,Heather,90,1,NA,,,,,,,,0.8,2,S,1,,,,
14,BT1,10,12/06/2018,AMcC,4,1.5,W,Moss,5,1,NA,,,,,,,,0.8,3,S,1,,,,
15,BT1,10,12/06/2018,AMcC,4,1.5,N,,,1,NA,NW,0.72,,,,,,0.8,4,S,1,,,,
16,BT1,10,12/06/2018,AMcC,4,1.5,N,,,1,NA,N,0.4,,,,,,1,2,S,1,,,,
17,BT1,10,12/06/2018,AMcC,4,1.5,N,,,1,NA,NE,0.74,,,,,,1,3,S,1,,,,
18,BT1,10,12/06/2018,AMcC,4,1.5,N,,,1,NA,E,0.61,,,,,,1,4,S,1,,,,
19,BT1,10,12/06/2018,AMcC,4,1.5,N,,,1,NA,SE,0.54,,,,,,0.5,2,E,11,,,,
20,BT1,10,12/06/2018,AMcC,4,1.5,N,,,1,NA,S,0,,,,,,0.5,3,E,11,,,,
21,BT1,10,12/06/2018,AMcC,4,1.5,N,,,1,NA,SW,0.43,,,,,,0.5,4,E,11,,,,
22,BT1,10,12/06/2018,AMcC,4,1.5,N,,,1,NA,W,0.26,,,,,,0.8,2,E,8,,,,
23,BT1,10,12/06/2018,AMcC,4,1.5,S,,,1,NA,NW,0.4,,,,,,0.8,3,E,7,,,,
24,BT1,10,12/06/2018,AMcC,4,1.5,S,,,1,NA,N,0.21,,,,,,0.8,4,E,9,,,,
25,BT1,10,12/06/2018,AMcC,4,1.5,S,,,1,NA,NE,0.42,,,,,,1,2,E,7,,,,
26,BT1,10,12/06/2018,AMcC,4,1.5,S,,,1,NA,E,0,,,,,,1,3,E,7,,,,
27,BT1,10,12/06/2018,AMcC,4,1.5,S,,,1,NA,SE,0,,,,,,1,4,E,8,,,,
28,BT1,10,12/06/2018,AMcC,4,1.5,S,,,1,NA,S,0,,,,,,0.5,2,W,8,,,,
29,BT1,10,12/06/2018,AMcC,4,1.5,S,,,1,NA,SW,0.43,,,,,,0.5,3,W,8,,,,
30,BT1,10,12/06/2018,AMcC,4,1.5,S,,,1,NA,W,0.48,,,,,,0.5,4,W,8,,,,
31,BT1,10,12/06/2018,AMcC,4,1.5,E,,,1,NA,NW,0.56,,,,,,0.8,2,W,6,,,,
32,BT1,10,12/06/2018,AMcC,4,1.5,E,,,1,NA,N,0.43,,,,,,0.8,3,W,6,,,,
33,BT1,10,12/06/2018,AMcC,4,1.5,E,,,1,NA,NE,0.88,,,,,,0.8,4,W,6,,,,
34,BT1,10,12/06/2018,AMcC,4,1.5,E,,,1,NA,E,0.63,,,,,,1,2,W,5,,,,
35,BT1,10,12/06/2018,AMcC,4,1.5,E,,,1,NA,SE,0.87,,,,,,1,3,W,5,,,,
36,BT1,10,12/06/2018,AMcC,4,1.5,E,,,1,NA,S,0.41,,,,,,1,4,W,5,,,,
37,BT1,10,12/06/2018,AMcC,4,1.5,E,,,1,NA,SW,0.4,,,,,,,,,,,,,
38,BT1,10,12/06/2018,AMcC,4,1.5,E,,,1,NA,W,0.22,,,,,,,,,,,,,
39,BT1,10,12/06/2018,AMcC,4,1.5,W,,,1,NA,NW,0.38,,,,,,,,,,,,,
40,BT1,10,12/06/2018,AMcC,4,1.5,W,,,1,NA,N,0.72,,,,,,,,,,,,,
41,BT1,10,12/06/2018,AMcC,4,1.5,W,,,1,NA,NE,0.56,,,,,,,,,,,,,
42,BT1,10,12/06/2018,AMcC,4,1.5,W,,,1,NA,E,0.58,,,,,,,,,,,,,
43,BT1,10,12/06/2018,AMcC,4,1.5,W,,,1,NA,SE,0,,,,,,,,,,,,,
44,BT1,10,12/06/2018,AMcC,4,1.5,W,,,1,NA,S,0.52,,,,,,,,,,,,,
45,BT1,10,12/06/2018,AMcC,4,1.5,W,,,1,NA,SW,0.54,,,,,,,,,,,,,
46,BT1,10,12/06/2018,AMcC,4,1.5,W,,,1,NA,W,0.47,,,,,,,,,,,,,
47,BT1,10,12/06/2018,AMcC,4,5,N,Gr & fo,10,1,NA,,,,,,,,,,,,,,,
48,BT1,10,12/06/2018,AMcC,4,5,N,Heather,10,1,NA,,,,,,,,,,,,,,,
49,BT1,10,12/06/2018,AMcC,4,5,N,Moss,80,1,NA,,,,,,,,,,,,,,,
50,BT1,10,12/06/2018,AMcC,4,5,S,Gr & fo,70,1,NA,,,,,,,,,,,,,,,
51,BT1,10,12/06/2018,AMcC,4,5,S,Heather,5,1,NA,,,,,,,,,,,,,,,
52,BT1,10,12/06/2018,AMcC,4,5,S,Moss,15,1,NA,,,,,,,,,,,,,,,
53,BT1,10,12/06/2018,AMcC,4,5,S,Sitka,5,1,NA,,,,,,,,,,,,,,,
54,BT1,10,12/06/2018,AMcC,4,5,S,Bramble,5,1,NA,,,,,,,,,,,,,,,
55,BT1,10,12/06/2018,AMcC,4,5,E,Gr & fo,20,1,NA,,,,,,,,,,,,,,,
56,BT1,10,12/06/2018,AMcC,4,5,E,Moss,30,1,NA,,,,,,,,,,,,,,,
57,BT1,10,12/06/2018,AMcC,4,5,E,Sitka,5,1,NA,,,,,,,,,,,,,,,
58,BT1,10,12/06/2018,AMcC,4,5,E,Bramble,45,1,NA,,,,,,,,,,,,,,,
59,BT1,10,12/06/2018,AMcC,4,5,W,Gr & fo,80,1,NA,,,,,,,,,,,,,,Half on windrow,
60,BT1,10,12/06/2018,AMcC,4,5,W,Heather,10,1,NA,,,,,,,,,,,,,,Half on windrow,
61,BT1,10,12/06/2018,AMcC,4,5,W,Moss,5,1,NA,,,,,,,,,,,,,,Half on windrow,
62,BT1,10,12/06/2018,AMcC,4,5,W,Sitka,5,1,NA,,,,,,,,,,,,,,Half on windrow,
63,BT1,10,12/06/2018,AMcC,4,5,N,,,1,NA,NW,0.05,,,,,,,,,,,,,
64,BT1,10,12/06/2018,AMcC,4,5,N,,,1,NA,NE,0.46,,,,,,,,,,,,,
65,BT1,10,12/06/2018,AMcC,4,5,N,,,1,NA,SE,0.29,,,,,,,,,,,,,
66,BT1,10,12/06/2018,AMcC,4,5,N,,,1,NA,SW,0.45,,,,,,,,,,,,,
67,BT1,10,12/06/2018,AMcC,4,5,S,,,1,NA,NW,0.15,,,,,,,,,,,,,
68,BT1,10,12/06/2018,AMcC,4,5,S,,,1,NA,NE,0.5,,,,,,,,,,,,,
69,BT1,10,12/06/2018,AMcC,4,5,S,,,1,NA,SE,0.08,,,,,,,,,,,,,
70,BT1,10,12/06/2018,AMcC,4,5,S,,,1,NA,SW,0.35,,,,,,,,,,,,,
71,BT1,10,12/06/2018,AMcC,4,5,E,,,1,NA,NW,0.05,,,,,,,,,,,,,
72,BT1,10,12/06/2018,AMcC,4,5,E,,,1,NA,NE,0.61,,,,,,,,,,,,,
73,BT1,10,12/06/2018,AMcC,4,5,E,,,1,NA,SE,0.48,,,,,,,,,,,,,
74,BT1,10,12/06/2018,AMcC,4,5,E,,,1,NA,SW,0.51,,,,,,,,,,,,,
75,BT1,10,12/06/2018,AMcC,4,5,W,,,1,NA,NW,0.37,,,,,,,,,,,,Half on windrow,
76,BT1,10,12/06/2018,AMcC,4,5,W,,,1,NA,NE,0.15,,,,,,,,,,,,Half on windrow,
77,BT1,10,12/06/2018,AMcC,4,5,W,,,1,NA,SE,0.52,,,,,,,,,,,,Half on windrow,
78,BT1,10,12/06/2018,AMcC,4,5,W,,,1,NA,SW,0.27,,,,,,,,,,,,Half on windrow,
79,BT1,10,12/06/2018,AMcC,4,10,N,Gr & fo,65,1,NA,,,,,,,,,,,,,,,
80,BT1,10,12/06/2018,AMcC,4,10,N,Heather,15,1,NA,,,,,,,,,,,,,,,
81,BT1,10,12/06/2018,AMcC,4,10,N,Bramble,10,1,NA,,,,,,,,,,,,,,,
