Capture_hr,Species_group,n
0,Avian predators,0
2,Avian predators,0
4,Avian predators,0
6,Avian predators,1
8,Avian predators,3
10,Avian predators,5
12,Avian predators,8
14,Avian predators,4
16,Avian predators,3
18,Avian predators,2
20,Avian predators,0
22,Avian predators,0
0,Mammalian predators,3
2,Mammalian predators,5
4,Mammalian predators,8
6,Mammalian predators,11
8,Mammalian predators,2
10,Mammalian predators,4
12,Mammalian predators,3
14,Mammalian predators,3
16,Mammalian predators,1
18,Mammalian predators,0
20,Mammalian predators,8
22,Mammalian predators,5
